Region,File Name,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,AMP_ENV,RMSE,ZCR,SPEC_CENT,SPEC_BAND
Barisal,br1.wav,-371.58478,97.99681,1.2696394,26.940123,-5.517467,-7.585458,-12.512117,-10.121937,-17.117098,-2.98086,-5.4952188,-6.685885,-2.2467117,0.09442335,0.042011652,0.082185325,1389.44849,1475.018042
Barisal,br10.wav,-311.64117,71.8437,-20.855787,17.992466,-9.575283,9.301216,-38.153957,-14.808104,-10.210079,-14.74765,-10.387901,-1.2345183,-3.2611814,0.1654589,0.0749384,0.179696563,2307.459302,1789.181398
Barisal,br100.wav,-314.17575,136.41866,-52.862125,-15.473975,-45.57,-17.382814,-19.885965,-25.647032,-8.209912,-17.986666,-11.351544,-1.0215429,-9.109297,0.10845537,0.048391595,0.070919736,1157.114627,1057.42618
Barisal,br1000.wav,-411.62485,180.74176,-21.907639,-30.858137,14.73692,-6.6353183,-30.891031,-23.473873,-18.24306,-22.557762,-11.455458,0.80358434,-9.340458,0.04552519,0.023924494,0.049118148,755.8614999,628.3562573
Barisal,br1001.wav,-395.1891,115.52895,-60.058544,-21.238525,-16.252647,-4.06191,-12.67642,-23.779793,-25.017618,-18.328882,-6.2992916,-8.56261,-16.118456,0.043661192,0.021089355,0.101045896,1474.43887,1225.782428
Barisal,br1002.wav,-444.23044,103.88004,-67.3569,-22.468096,-14.513667,-15.148982,-20.878672,-28.81056,-28.144764,-28.349857,-10.822759,-10.212014,-14.838513,0.041965634,0.021163821,0.086354408,1330.128955,1130.997963
Barisal,br1003.wav,-460.6686,82.43838,-56.537132,-0.90200526,-10.156818,-13.29967,-19.948748,-18.834305,-10.331511,-18.478281,-11.25557,-12.638954,-11.925911,0.03863026,0.01896465,0.150295461,1956.288741,1311.240646
Barisal,br1004.wav,-486.20416,88.814415,-28.644382,-8.088315,-24.186075,-3.3715944,-16.832935,-12.372536,-17.39554,-16.688019,-11.429032,-13.957093,-4.0966873,0.0294401,0.01439334,0.154863327,2068.970166,1432.011578
Barisal,br1005.wav,-472.72983,85.934616,-52.70556,-4.4337573,-24.28773,-3.5279098,-13.564729,-23.502754,-23.185637,-17.725496,-4.3587055,-11.416882,-12.234984,0.02659579,0.013010944,0.152280307,1963.415459,1544.368833
Barisal,br1006.wav,-428.7819,133.26683,-51.29616,-28.48226,-23.725874,2.78399,-23.686104,-32.151634,-15.325001,-27.675602,-19.078758,-2.5079165,-10.122911,0.041352637,0.020945476,0.107004967,1405.841357,1137.540303
Barisal,br1007.wav,-409.2118,138.77188,-33.259052,-31.993338,-13.772113,-3.069599,-19.89371,-22.77008,-10.477061,-30.060352,-26.348276,-3.6580737,-7.193847,0.044793375,0.022714142,0.079819823,1154.95928,999.8396026
Barisal,br1008.wav,-388.46854,104.84487,-42.834183,-35.270443,-18.126875,2.7145932,-22.432411,-20.125185,-17.538424,-24.05317,-22.202868,-5.125745,1.732822,0.049830645,0.026394054,0.102273963,1515.089108,1297.184472
Barisal,br1009.wav,-370.72717,131.08878,-54.474487,-25.149885,-8.541949,-21.499651,-10.3079405,-13.264785,-22.46355,-16.736744,-8.991663,-10.04739,-9.140469,0.05994618,0.029679732,0.086848354,1215.331355,893.8172994
Barisal,br101.wav,-333.23685,157.71075,-57.1619,-11.068374,-9.830198,-15.404869,-36.411434,-23.991861,-14.7842,-26.08539,-11.786291,-7.270164,-2.6709278,0.08048264,0.03546998,0.068712841,1103.252002,1010.764215
Barisal,br1010.wav,-415.48004,176.97389,-73.12666,-32.404774,-11.376599,-15.828853,-3.260112,-19.37622,-16.830788,-8.800765,-10.015962,-8.764937,-13.168518,0.043296717,0.020249786,0.084401283,1106.789814,763.5071391
